Date,close,prediction,confidence,predicted_return,signal,position_size
2025-07-10,212.41000366210938,1,0.66275966,0.03,BUY,0.004882789850234985
2025-07-11,211.16000366210938,1,0.7546691,0.03,BUY,0.0076400721073150634
2025-07-14,208.6199951171875,1,0.55286664,0.03,HOLD,0.0
2025-07-15,209.11000061035156,1,0.76447195,0.03,BUY,0.007934158444404602
2025-07-16,210.16000366210938,1,0.8158372,0.03,BUY,0.00947511613368988
2025-07-17,210.02000427246094,1,0.6348865,0.03,HOLD,0.0
2025-07-18,211.17999267578125,1,0.8039973,0.03,BUY,0.009119918346405029
2025-07-21,212.47999572753906,1,0.84488654,0.03,BUY,0.010346596240997314
2025-07-22,214.39999389648438,1,0.8217385,0.03,BUY,0.009652154445648193
2025-07-23,214.14999389648438,1,0.85879445,0.03,BUY,0.010763833522796631
2025-07-24,213.75999450683594,1,0.6212441,0.03,HOLD,0.0
2025-07-25,213.8800048828125,1,0.79653484,0.03,BUY,0.008896045088768005
2025-07-28,214.0500030517578,1,0.6453444,0.03,HOLD,0.0
2025-07-29,211.27000427246094,1,0.65563744,0.03,BUY,0.004669123291969299
2025-07-30,209.0500030517578,0,0.38955572,-0.03,HOLD,0.0
2025-07-31,207.57000732421875,1,0.61832577,0.03,HOLD,0.0
2025-08-01,202.3800048828125,1,0.77797616,0.03,BUY,0.008339284658432006
2025-08-04,203.35000610351562,1,0.75100684,0.03,BUY,0.007530205249786376
2025-08-05,202.9199981689453,1,0.8560596,0.03,BUY,0.010681788325309752
2025-08-06,213.25,1,0.6647056,0.03,BUY,0.004941167235374451
2025-08-07,220.02999877929688,1,0.85588354,0.03,BUY,0.010676506161689758
2025-08-08,229.35000610351562,1,0.8583594,0.03,BUY,0.010750781893730164
2025-08-11,227.17999267578125,1,0.951038,0.03,BUY,0.013531140089035033
2025-08-12,229.64999389648438,1,0.90374136,0.03,BUY,0.0121122407913208
2025-08-13,233.3300018310547,0,0.34875116,-0.03,HOLD,0.0
2025-08-14,232.77999877929688,0,0.23813562,-0.03,HOLD,0.0
2025-08-15,231.58999633789062,0,0.3176524,-0.03,HOLD,0.0
2025-08-18,230.88999938964844,0,0.3527055,-0.03,HOLD,0.0
2025-08-19,230.55999755859375,0,0.35794955,-0.03,HOLD,0.0
2025-08-20,226.00999450683594,1,0.6436437,0.03,HOLD,0.0
2025-08-21,224.89999389648438,1,0.8627131,0.03,BUY,0.010881392955780028
2025-08-22,227.75999450683594,1,0.88596433,0.03,BUY,0.011578930020332336
2025-08-25,227.16000366210938,1,0.7001839,0.03,BUY,0.006005517840385437
2025-08-26,229.30999755859375,1,0.90896875,0.03,BUY,0.012269062399864196
2025-08-27,230.49000549316406,1,0.5183679,0.03,HOLD,0.0
2025-08-28,232.55999755859375,1,0.76337,0.03,BUY,0.007901099324226378
2025-08-29,232.13999938964844,0,0.13658819,-0.03,HOLD,0.0
2025-09-02,229.72000122070312,0,0.35341197,-0.03,HOLD,0.0
2025-09-03,238.47000122070312,0,0.19633687,-0.03,HOLD,0.0
2025-09-04,239.77999877929688,0,0.15691718,-0.03,HOLD,0.0
2025-09-05,239.69000244140625,0,0.049325984,-0.03,HOLD,0.0
2025-09-08,237.8800048828125,0,0.033502817,-0.03,HOLD,0.0
2025-09-09,234.35000610351562,0,0.36987647,-0.03,HOLD,0.0
2025-09-10,226.7899932861328,0,0.48885757,-0.03,HOLD,0.0
2025-09-11,230.02999877929688,1,0.7363416,0.03,BUY,0.007090247869491577
2025-09-12,234.07000732421875,1,0.60015005,0.03,HOLD,0.0
2025-09-15,236.6999969482422,0,0.1257292,-0.03,HOLD,0.0
2025-09-16,238.14999389648438,0,0.23185068,-0.03,HOLD,0.0
